video_id,Author,Comment,published_at,likes,Topic
oFKMU0JtMm0,@מזלודניכהן,מקלקל אין לנו קינוח,2023-08-22T12:08:20Z,0,Gastronomy
oFKMU0JtMm0,@מזלודניכהן,למה למה חלבי תהיה נחמד עם מתכון פרווה,2023-08-22T12:06:25Z,1,Gastronomy
oFKMU0JtMm0,@חבחהלבלג,אחלה שף,2022-10-04T20:24:10Z,1,Gastronomy
oFKMU0JtMm0,@מתילדהאלפסי,שתיהיה לך שנה טובה בריאות אושר ועושר נחת מהילדים,2022-09-18T10:59:21Z,1,Gastronomy
oFKMU0JtMm0,@מתילדהאלפסי,תודה על כל המתכונים שאת מעלה לנו אתה מקסים צנוע ולומדים ממך הרבה,2022-09-18T10:57:16Z,2,Gastronomy
oFKMU0JtMm0,@פריחתהשקד,נפלא תודה אומרים ארוחת שבת כמו שכתוב כאן ולא ארוחת שישי כי היממה מתחילה מהלילה מימלא מה שיש מכנים שישי בלילה זה באמת ליל שבת,2022-02-07T15:12:42Z,1,Gastronomy
oFKMU0JtMm0,@אסתרבכר-ר9י,אבי ביטון שף עם נשמה טובה ולב זהב הוא הכי אהוב ונערץ עלי מצדיעה לך בהצלחה גדולה כל הכבוד לך יבורכו ידיך הצלחה בכל מעשה ידיך ועוד הרבה שנים טובות של עשיה פוריה ומוצלחת שאלוהים ישמור יגן ויברך אותך ואת כל המשפחה מכל רע,2022-01-19T09:22:36Z,0,Gastronomy
oFKMU0JtMm0,@mordechaieden8398,האם אפשר להחליף במתכונים שלך פטרוזיליה במקום כוסברה,2021-12-29T19:01:10Z,0,Gastronomy
ffsDrFNr9xs,@matanperetzstandup,שימו כריות עם חלב וכנסו להזמין כרטיסים,2024-06-06T15:04:52Z,43,Humor
ffsDrFNr9xs,@purple-560,אחד הסרטונים הטובים קרעת אותי,2025-08-22T13:45:38Z,1,Humor
ffsDrFNr9xs,@royfrank9947,איזה קינג,2025-07-21T08:21:34Z,0,Humor
ffsDrFNr9xs,@YARIN.E,איך בא לי עכשיו כריות עם חלבבב,2025-04-17T22:56:35Z,1,Humor
ffsDrFNr9xs,@PelegTLT,נשמר במועדפים אייי הרגת אותי מצחוק אני ראיתי בשירותים רואה את הסרטון סוגר את הדלת מסתובב רואה את אבא שלי והוא כזה הכל בסדר שמעתי אותך צורח אז חשבתי שיש לך טחורים,2024-10-29T17:29:09Z,7,Humor
ffsDrFNr9xs,@אפרתוינר,זה תלוי בקרמבואים,2024-10-22T21:36:27Z,2,Humor
ffsDrFNr9xs,@etibilya9405,זה נראלי הפעם בין החמישית לשישית שאני רואה את זה וזה כל פעם מצחיק אותי מחדש,2024-07-13T22:52:03Z,4,Humor
ffsDrFNr9xs,@רבקיספרא,ברור כריות על המקרר,2024-07-09T12:58:36Z,5,Humor
